id,key,value,type
30979303,created_by,JOSM,regular
42424354,ref,4,regular
42424354,exit_to,Downtown,regular
42424354,highway,motorway_junction,regular
42430338,highway,traffic_signals,regular
42431099,highway,traffic_signals,regular
42432558,highway,traffic_signals,regular
42438839,highway,traffic_signals,regular
42440785,highway,traffic_signals,regular
42440829,highway,traffic_signals,regular
42442955,highway,traffic_signals,regular
42444461,highway,traffic_signals,regular
42444461,traffic_signals,signal,regular
42445511,highway,traffic_signals,regular
42447020,highway,traffic_signals,regular
42450456,highway,traffic_signals,regular
42451787,highway,traffic_signals,regular
42453158,highway,traffic_signals,regular
42463370,highway,traffic_signals,regular
42469026,highway,traffic_signals,regular
42469026,crossing,traffic_signals,regular
42521183,crossing,traffic_signals,regular
42521183,direction,forward,regular
42521183,highway,traffic_signals,regular
42521183,side,right,regular
42521183,sloped_curb,yes,regular
42820289,highway,traffic_signals,regular
42832988,highway,traffic_signals,regular
42856729,highway,traffic_signals,regular
42943879,barrier,gate,regular
103119836,ref,NJ 4,regular
103119883,ref,NJ 4,regular
103150773,highway,traffic_signals,regular
103216960,highway,turning_circle,regular
103259175,highway,turning_circle,regular
103276124,railway,level_crossing,regular
103663241,highway,turning_circle,regular
103672197,highway,turning_circle,regular
103710287,highway,traffic_signals,regular
103777226,highway,turning_circle,regular
103780361,highway,turning_circle,regular
104148936,railway,level_crossing,regular
104202378,highway,turning_circle,regular
104359043,highway,turning_circle,regular
104392691,highway,turning_circle,regular
104685640,highway,turning_circle,regular
104712895,highway,turning_circle,regular
104721199,railway,level_crossing,regular
105184824,highway,turning_circle,regular
105403798,highway,turning_loop,regular
105424645,highway,turning_circle,regular
105444967,highway,traffic_signals,regular
105465222,highway,turning_circle,regular
105512394,railway,level_crossing,regular
129033472,ref,39A,regular
129033472,highway,motorway_junction,regular
158814557,ele,7,regular
158814557,name,Woodmere,regular
158814557,is_in,"Nassau,New York,N.Y.,NY,USA",regular
158814557,place,hamlet,regular
158814557,id,971684,gnis
158814557,Class,Populated Place,gnis
158814557,County,Nassau,gnis
158814557,ST_num,36,gnis
158814557,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158814557,ST_alpha,NY,gnis
158814557,County_num,059,gnis
158842990,ele,80,regular
158842990,name,Homestead Park,regular
158842990,is_in,"Morris,New Jersey,N.J.,NJ,USA",regular
158842990,place,hamlet,regular
158842990,id,877220,gnis
158842990,Class,Populated Place,gnis
158842990,County,Morris,gnis
158842990,ST_num,34,gnis
158842990,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158842990,ST_alpha,NJ,gnis
158842990,County_num,027,gnis
158845118,ele,34,regular
158845118,name,Saint George,regular
158845118,is_in,"Richmond,New York,N.Y.,NY,USA",regular
158845118,place,neighbourhood,regular
158845118,id,963518,gnis
158845118,wikipedia,"en:St. George, Staten Island",regular
158845118,Class,Populated Place,gnis
158845118,County,Richmond,gnis
158845118,ST_num,36,gnis
158845118,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158845118,ST_alpha,NY,gnis
158845118,County_num,085,gnis
158896686,ele,30,regular
158896686,name,Holmdel,regular
158896686,is_in,"Monmouth,New Jersey,N.J.,NJ,USA",regular
158896686,place,town,regular
158896686,id,877182,gnis
158896686,Class,Populated Place,gnis
158896686,population,16834,regular
158896686,County,Monmouth,gnis
158896686,ST_num,34,gnis
158896686,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158896686,ST_alpha,NJ,gnis
158896686,County_num,025,gnis
158896686,population,16834;2006,census
213478030,highway,traffic_signals,regular
213478030,traffic_signals,signal,regular
213708787,highway,turning_circle,regular
213902380,highway,turning_circle,regular
214155548,highway,turning_circle,regular
222057765,railway,subway_entrance,regular
235072362,created_by,JOSM,regular
243380052,created_by,JOSM,regular
243380138,created_by,JOSM,regular
243381358,created_by,JOSM,regular
243410058,created_by,JOSM,regular
243526131,created_by,Merkaartor 0.12,regular
243526256,created_by,Merkaartor 0.12,regular
246882085,highway,crossing,regular
254616919,highway,stop,regular
254622395,highway,traffic_signals,regular
254774278,highway,traffic_signals,regular
261343239,ref,28A N,regular
261343239,highway,motorway_junction,regular
261366728,name,Lawrence,regular
261366728,train,yes,regular
261366728,network,Long Island Rail Road,regular
261366728,operator,Long Island Rail Road,regular
261366728,public_transport,stop_position,regular
261373239,highway,traffic_signals,regular
261375367,highway,turning_circle,regular
261440998,highway,turning_circle,regular
261453263,highway,turning_circle,regular
261455273,highway,turning_circle,regular
280229426,ref,20B,regular
280229426,highway,motorway_junction,regular
294093451,created_by,Merkaartor 0.11,regular
295268431,highway,turning_circle,regular
295802746,city,Hoboken,addr
295802746,created_by,Merkaartor 0.11,regular
295802746,street,1st Street,addr
295802746,housenumber,501,addr
295802871,city,Hoboken,addr
295802871,created_by,Merkaartor 0.11,regular
295802871,street,Garden Street,addr
295802871,housenumber,98,addr
296856881,highway,traffic_signals,regular
297094864,created_by,Merkaartor 0.11,regular
297110015,created_by,Merkaartor 0.11,regular
297466458,created_by,Merkaartor 0.12,regular
298519802,created_by,Merkaartor 0.12,regular
298521140,created_by,Merkaartor 0.12,regular
298928302,created_by,Merkaartor 0.12,regular
299617069,ref,7,regular
299617069,highway,motorway_junction,regular
299621178,created_by,Merkaartor 0.12,regular
299626031,created_by,Merkaartor 0.12,regular
299884972,created_by,Merkaartor 0.12,regular
300768993,ref,148,regular
300768993,highway,motorway_junction,regular
301356761,created_by,Merkaartor 0.12,regular
301492034,created_by,Merkaartor 0.12,regular
301495323,created_by,Merkaartor 0.12,regular
301497631,created_by,Merkaartor 0.12,regular
301545566,created_by,Merkaartor 0.12,regular
301689029,created_by,Merkaartor 0.12,regular
301689039,created_by,Merkaartor 0.12,regular
302128307,created_by,Merkaartor 0.12,regular
302155147,created_by,Merkaartor 0.12,regular
302159724,created_by,Merkaartor 0.12,regular
302257389,created_by,Merkaartor 0.12,regular
302257511,created_by,Merkaartor 0.12,regular
302455777,created_by,Merkaartor 0.12,regular
303202134,created_by,Merkaartor 0.12,regular
308505276,created_by,Merkaartor 0.12,regular
316584246,created_by,Merkaartor 0.12,regular
320339311,created_by,Merkaartor 0.12,regular
320396679,created_by,Merkaartor 0.12,regular
320398635,created_by,Merkaartor 0.12,regular
320512338,created_by,Merkaartor 0.12,regular
352862919,ref,8,regular
352862919,highway,motorway_junction,regular
357575319,ele,74,regular
357575319,name,Old Tarrytown Road School,regular
357575319,amenity,school,regular
357575319,created,01/23/1980,gnis
357575319,state_id,36,gnis
357575319,county_id,119,gnis
