id,key,value,type
5669925,destination,West Houston Street,regular
5669925,highway,residential,regular
5669925,maxspeed,25 mph,regular
5669925,name,Avenue of the Americas,regular
5669925,name_1,Avenue of Americas,regular
5669925,name_2,6 Avenue,regular
5669925,old_name,Congress Street,regular
5669925,oneway,yes,regular
5669925,sidewalk,left,regular
5669925,cfcc,A41,tiger
5669925,county,"New York, NY",tiger
5669925,name_base,Avenue of the Americas,tiger
5669925,name_base_1,Avenue of Americas,tiger
5669925,name_base_2,6,tiger
5669925,name_type_2,Ave,tiger
5669925,reviewed,no,tiger
5670167,highway,residential,regular
5670167,maxspeed,25 mph,regular
5670167,name,Peck Slip,regular
5670167,oneway,yes,regular
5670167,cfcc,A41,tiger
5670167,county,"New York, NY",tiger
5670167,name_base,Peck Slip,tiger
5670677,name,West 131st Street,regular
5670677,name_1,West 131 Street,regular
5670677,highway,residential,regular
5670677,cfcc,A41,tiger
5670677,county,"New York, NY",tiger
5670677,reviewed,no,tiger
5670677,zip_left,10027,tiger
5670677,name_base,131st,tiger
5670677,name_type,St,tiger
5670677,zip_right,10027,tiger
5670677,name_base_1,131,tiger
5670677,name_type_1,St,tiger
5670677,name_direction_prefix,W,tiger
5670677,name_direction_prefix_1,W,tiger
5670756,highway,residential,regular
5670756,maxspeed,25 mph,regular
5670756,name,14th Street Loop,regular
5670756,oneway,yes,regular
5670756,cfcc,A41,tiger
5670756,county,"New York, NY",tiger
5670756,name_base,Stuyvesant,tiger
5670756,name_direction_suffix,S,tiger
5670756,name_type,Loop,tiger
5670756,reviewed,no,tiger
5671179,access,private,regular
5671179,oneway,yes,regular
5671179,highway,service,regular
5671179,cfcc,A41,tiger
5671179,county,"New York, NY",tiger
5671179,reviewed,no,tiger
5671179,name_base,Rutgers Slip,tiger
5672183,highway,residential,regular
5672183,maxspeed,20 mph,regular
5672183,name,East 5th Street,regular
5672183,name_1,East 5 Street,regular
5672183,cfcc,A41,tiger
5672183,county,"New York, NY",tiger
5672183,name_base,5th,tiger
5672183,name_base_1,5,tiger
5672183,name_direction_prefix,E,tiger
5672183,name_direction_prefix_1,E,tiger
5672183,name_type,St,tiger
5672183,name_type_1,St,tiger
5672183,reviewed,no,tiger
5672183,zip_left,10009,tiger
5672183,zip_right,10009,tiger
5675877,name,97th Street,regular
5675877,oneway,yes,regular
5675877,highway,residential,regular
5675877,cfcc,A41,tiger
5675877,county,"Kings, NY",tiger
5675877,reviewed,no,tiger
5675877,zip_left,11209,tiger
5675877,name_base,97th,tiger
5675877,name_type,St,tiger
5675877,zip_right,11209,tiger
5676845,name,Seaview Court,regular
5676845,highway,residential,regular
5676845,cfcc,A41,tiger
5676845,tlid,59087144,tiger
5676845,county,"Kings, NY",tiger
5676845,source,tiger_import_dch_v0.6_20070829,tiger
5676845,reviewed,no,tiger
5676845,zip_left,11236,tiger
5676845,name_base,Seaview,tiger
5676845,name_type,Ct,tiger
5676845,separated,no,tiger
5676845,zip_right,11236,tiger
5676845,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5677302,name,Thatford Avenue,regular
5677302,highway,residential,regular
5677302,cfcc,A41,tiger
5677302,county,"Kings, NY",tiger
5677302,reviewed,no,tiger
5677302,zip_left,11212,tiger
5677302,name_base,Thatford,tiger
5677302,name_type,Ave,tiger
5677302,zip_right,11212,tiger
5678628,name,Hubbard Place,regular
5678628,oneway,yes,regular
5678628,highway,residential,regular
5678628,cfcc,A41,tiger
5678628,county,"Kings, NY",tiger
5678628,reviewed,no,tiger
5678628,zip_left,11210,tiger
5678628,name_base,Hubbard,tiger
5678628,name_type,Pl,tiger
5678628,zip_right,11210,tiger
5679678,name,East 55th Street,regular
5679678,oneway,yes,regular
5679678,highway,residential,regular
5679678,cfcc,A41,tiger
5679678,county,"Kings, NY",tiger
5679678,reviewed,no,tiger
5679678,zip_left,11234,tiger
5679678,name_base,55th,tiger
5679678,name_type,St,tiger
5679678,zip_right,11234,tiger
5679678,name_direction_prefix,E,tiger
5680980,name,East 12th Street,regular
5680980,highway,residential,regular
5680980,cfcc,A41,tiger
5680980,tlid,59099317,tiger
5680980,county,"Kings, NY",tiger
5680980,source,tiger_import_dch_v0.6_20070829,tiger
5680980,reviewed,no,tiger
5680980,zip_left,11230,tiger
5680980,name_base,12th,tiger
5680980,name_type,St,tiger
5680980,separated,no,tiger
5680980,zip_right,11230,tiger
5680980,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5680980,name_direction_prefix,E,tiger
5681547,name,Saint Johns Place,regular
5681547,oneway,no,regular
5681547,highway,residential,regular
5681547,cycleway,lane,regular
5681547,maxspeed,25 mph,regular
5681547,cfcc,A41,tiger
5681547,county,"Kings, NY",tiger
5681547,reviewed,no,tiger
5681547,zip_left,11233,tiger
5681547,name_base,St Johns,tiger
5681547,name_type,Pl,tiger
5681547,zip_right,11233,tiger
5681584,name,Beekman Place,regular
5681584,highway,residential,regular
5681584,cfcc,A41,tiger
5681584,tlid,59078541,tiger
5681584,county,"Kings, NY",tiger
5681584,source,tiger_import_dch_v0.6_20070829,tiger
5681584,reviewed,no,tiger
5681584,zip_left,11225,tiger
5681584,name_base,Beekman,tiger
5681584,name_type,Pl,tiger
